entity1,entity2,eDistance,confidence
3,83,1827.8276724024067,0.97950304
5,4,33.0,0.9988268
9,8,32.0,0.99972486
11,10,32.0,0.9996524
11,12,109.0,0.9997101
11,12,109.0,0.9994932
14,13,32.0,0.99879384
16,15,32.0,0.9992354
16,17,109.0,0.9988227
16,17,109.0,0.99892735
19,18,32.01562118716424,0.9993243
21,20,32.0,0.9987794
26,12,56.938563381947034,0.99964464
27,17,53.53503525729669,0.99733865
29,12,650.8555907419095,0.69252646
30,6,180.24705268048075,0.9983065
32,24,112.0,0.9996079
33,25,110.0,0.9988656
34,23,45.967379738244816,0.9976038
35,22,51.85556864985669,0.99565756
37,36,37.05401462729781,0.7112157
42,41,30.01666203960727,0.9985261
46,240,262.0,0.9925972
47,216,293.24563082849164,0.9082699
48,216,227.43130831088317,0.81079113
56,51,265.0075470623431,0.97043276
58,53,267.02996086581743,0.9477279
61,59,247.01821795163207,0.98991066
62,67,179.10053042914194,0.9946151
63,69,232.0021551624036,0.98262644
65,242,291.0154635066666,0.9970796
66,72,261.0019157017818,0.97721183
71,60,268.04663773306316,0.9515165
156,110,536.5258614456529,0.5401461
158,93,236.01906702637396,0.9919278
158,94,282.39157211220027,0.99519837
158,201,370.06080581439585,0.98332727
159,95,251.00796800101784,0.99129987
159,109,336.2142174269256,0.9880748
159,113,500.000999999,0.51229244
160,112,529.2730864119203,0.54861796
161,98,251.0,0.9929823
161,99,341.1773732239581,0.96280825
165,90,244.24782496472716,0.99557793
165,97,336.0133925902359,0.99147445
165,110,493.1227027829889,0.6251605
165,110,493.1227027829889,0.5158717
166,126,380.0,0.9865984
166,128,378.53005164715785,0.9913987
166,118,188.2817038376273,0.98920774
166,120,264.5770209220748,0.9895208
166,121,371.10241174101793,0.9949891
166,126,380.0,0.98661506
166,128,378.53005164715785,0.99127775
167,126,376.36285682835387,0.9748657
167,128,372.0053763052357,0.9835843
167,118,180.02499826412998,0.974293
167,120,255.56603843233944,0.96912706
167,121,360.0722149791622,0.9962667
167,126,376.36285682835387,0.9802566
167,128,372.0053763052357,0.9852157
167,120,255.56603843233944,0.9250381
167,128,372.0053763052357,0.967065
168,123,236.00211863455803,0.9529915
168,124,281.2561110447202,0.9797745
168,144,369.1950703896248,0.96826935
168,123,236.00211863455803,0.9521918
168,124,281.2561110447202,0.98738885
168,144,369.1950703896248,0.9893868
168,148,186.01075237738274,0.982879
169,125,201.0,0.9945406
169,145,336.3807366660582,0.963294
169,125,201.0,0.9954311
169,142,325.41204648875555,0.99393344
169,145,336.3807366660582,0.9874493
169,150,151.33076356114773,0.9929918
170,143,367.02179771779225,0.9121947
170,149,180.27756377319946,0.9902226
171,129,201.03979705520993,0.99873304
171,130,341.84353145847297,0.9965258
171,129,201.03979705520993,0.99860644
171,130,341.84353145847297,0.9984359
171,152,151.0132444522665,0.9970985
172,141,367.3064115966396,0.99616694
172,151,177.04519197086375,0.9928292
173,141,347.1166950753017,0.99872565
173,151,158.26875876179733,0.99387836
175,118,146.50938536489735,0.8714011
175,120,219.3855054464629,0.6144763
175,121,320.8987379221053,0.94830096
175,126,344.62298240250897,0.8825841
175,128,337.16464820618427,0.93485284
175,128,337.16464820618427,0.68578917
176,86,242.00206610688264,0.9864454
177,88,299.202272718641,0.9895904
178,88,252.33509466580347,0.97982466
179,80,29.410882339705484,0.68208325
179,83,90.2551937563706,0.58568215
180,83,1094.624136404821,0.9998268
180,107,28.635642126552707,0.9832032
181,83,1635.3158716284754,0.9999591
181,105,26.1725046566048,0.9769719
182,83,1635.8386228476206,0.9999591
182,105,51.15662224971465,0.9769719
183,83,1365.7737733607275,0.9999516
183,106,28.635642126552707,0.9918542
184,83,925.3869460933627,0.9994285
184,89,29.154759474226502,0.9943516
185,83,927.2842067025622,0.9995068
188,116,26.476404589747453,0.88170314
191,139,26.92582403567252,0.99827313
192,137,26.1725046566048,0.9996818
193,137,49.16299421312742,0.9996818
194,138,26.68332812825267,0.9957636
195,119,26.019223662515376,0.9996332
197,83,774.2486680647245,0.9972574
198,83,754.6601884292029,0.99742156
199,83,274.16965550549173,0.5802458
200,83,305.1327579923205,0.6860274
205,82,26.476404589747453,0.93935925
205,83,521.3108477674333,0.95728683
206,208,253.03161857759991,0.94200736
207,209,269.0018587296378,0.9393642
210,235,277.0018050482704,0.9550898
211,237,230.00869548780108,0.98052925
212,38,198.15650380444242,0.9732492
244,238,284.29737951659,0.9979532
245,239,291.0154635066666,0.9963044
247,246,271.0073799733136,0.9975058
249,248,255.12545933324648,0.99676573
255,251,324.07560846197606,0.9966061
257,241,237.35627229968034,0.9913058
258,241,244.40130932546168,0.993827
